Currency,Popularity
bitlux,3231
bitluckcoin,2008
bitcoin,1417
ethereum,1286
buzzcoin,969
virtacoin,857
bonescoin,432
supplyshock,302
the hempcoin,252
xiaomicoin,247
16bitcoin,209
axiom coin,161
mollycoin,154
digicube,136
analcoin,111
bipcoin,107
gemz social,90
ripple,58
trigger,55
diamond,53
ssvcoin,51
katzcoin,48
litecoin,45
newzealandcoin,38
hedgecoin,37
digix dao,36
syndicate,36
tittiecoin,35
verge,33
safeexchangecoin,33
lgbtqoin,33
rise,33
gbr coin,33
emerald,31
bam,31
darkknightcoin,29
genstake,28
aegis,27
wings dao,25
scryptcoin,18
coolcoin,16
spaincoin,16
returnbit,15
bitquark,14
xaucoin,13
monero,11
nxt,11
dogecoin,11
zcash,11
startcoin,11
megastake,11
fibre,10
tekcoin,10
ark,10
quotient,9
bitshares,8
camcoin,8
solarfarm,7
cryptographic anomaly,7
tdfb,7
eurocoin,7
cryptofocus,6
ardor,6
aircoin,6
free game zone,6
evilcoin,5
spacecoin,5
karbo,5
zcoin,5
premium,5
guccionecoin,5
cannabis industry coin,5
peercoin,4
mooncoin,4
halcyon,4
namecoin,4
stablecoin,4
007 coin,4
hodlcoin,4
trumpcoin,4
mojocoin,4
steem backed dollars,4
pencoin,4
cloakcoin,3
einsteinium,3
feathercoin,3
goldcoin,3
luckycoin,3
novacoin,3
potcoin,3
silkcoin,3
stellar,3
vertcoin,3
chip,3
ghoul coin,3
pakcoin,3
adzcoin,3
sibcoin,3
digital bullion gold,3
goldblocks,3
covencoin,3
blockpay,3
olympcoin,3
janus,3
digibyte,2
kobocoin,2
petrodollar,2
quatloo,2
riecoin,2
bitbar,2
bytecoin,2
cannabiscoin,2
mintcoin,2
navcoin,2
nyancoin,2
protoshares,2
paycoin,2
spots,2
synccoin,2
unbreakablecoin,2
vidiocoin,2
vericoin,2
crypti,2
nem,2
positron,2
kryptcoin,2
rubycoin,2
aerome,2
dirac coin,2
bitstarcoin,2
metalcoin,2
world trade funds,2
bananabits,2
arbit coin,2
uncoin,2
obits coin,2
i0coin,2
okcash,2
lisk,2
gamebetcoin,2
sarcoin,2
billarycoin,2
bitalphacoin,2
networkcoin,2
salus,2
steps,2
europecoin,2
berncash,2
pepe,2
acescoin,2
orlycoin,2
bancor network token,2
bitsend,2
iconomi,2
mass coin,2
save the ocean,2
dogegorecoin,2
tetra,2
braincoin,2
goldmaxcoin,2
ebitz,2
bitcoinfast,2
blackstar,2
cryptospots,2
cryptocarbon,2
mmxvi,2
pentacoin,2
bitcoindark,1
spreadcoin,1
acoin,1
argentum,1
aricoin,1
betacoin,1
bitbean,1
blackcoin,1
energycoin,1
bitmark,1
cachecoin,1
cashcoin,1
catcoin,1
cannacoin,1
clams,1
emark,1
fireflycoin,1
fluttercoin,1
globalcoin,1
hobonickels,1
ixcoin,1
maxcoin,1
mincoin,1
mazacoin,1
phoenixcoin,1
saturn2coin,1
supercoin,1
tigercoin,1
unitarystatus dollar,1
xxxcoin,1
digitalnote ,1
maidsafe coin,1
monacoin,1
vcash,1
faircoin,1
qoracoin,1
dnotes,1
solarcoin,1
nxtty,1
slimcoin,1
trustplus,1
conspiracy coin ,1
octocoin,1
xcoin,1
radonpay,1
edgecoin,1
darktron,1
bitseeds,1
credits,1
global currency reserve,1
neucoin,1
lyrabar,1
blitzcoin,1
karmacoin,1
nas2coin,1
augur,1
hitcoin,1
gamecredits,1
dashcoin,1
dubaicoin,1
redcrowcoin,1
pwr coin,1
bitcrystals,1
dotcoin,1
darknet,1
phalanx,1
hempcoin,1
gapcoin,1
soilcoin,1
vaperscoin,1
1337,1
breakoutcoin,1
digieuro,1
dark lisk,1
nevacoin,1
ratecoin,1
revenu,1
clockcoin,1
zoomcoin,1
sharkcoin,1
project decorum,1
genesyscoin,1
let it ride,1
mmnxt ,1
cryptojacks,1
ibankcoin,1
mudracoin,1
autumncoin,1
arkdao,1
dickcoin,1
ubiqoin,1
erbcoin,1
sentaro,1
bitbronze,1
beats,1
bitluckcoin,1
resumeo shares,1
sydpakcoin,1
safecoin,1
blackshadowcoin,1
royalcoin,1
tennet,1
equalcoin,1
royalcoin 2.0,1
darcrus,1
cbd crystals,1
dream8coin,1
embercoin,1
iwallet,1
trickycoin,1
seedshares,1
procom,1
coralpay,1
incent,1
avatar coin,1
gameunits,1
quebecoin,1
giftnet,1
